,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
2057,Seung-Jun Yi,South Korea,,set(),0,set(),0,set(),0
2058,Shadman Shahid,Bangladesh,"He completed a three-year course in photography at the Pathshala South Asian Media Academy. After enlisting for a basic photography class in 2011 to improve his film making skills, he became enchanted with the medium and has been passionate about practicing photography ever since. Shadman enjoys working within small isolated communities and on personal stories. He has taken part in workshops conducted by Gary Knight, Munem Wasif, Abir Abdullah, Jodi Haines and Gael Turine. He was selected to take part in the Joop Swart Masterclass 2017 in Amsterdam. ","{'Abir Abdullah', 'Jodi Haines', 'Gael Turine', 'Munem Wasif', 'Gary Knight'}",5,set(),0,{'Amsterdam'},1
2059,Shadrack Nkomo,South Africa,,set(),0,set(),0,set(),0
2060,Shafiqul Alam Kiron,Bangladesh,,set(),0,set(),0,set(),0
2061,Shahidul Alam,Bangladesh,"Shahidul Alam obtained a PhD in chemistry before taking up photography, concentrating on issues of social justice. He set up the Drik and Majority World agencies, Pathshala South Asian Media Institute and the Chobi Mela festival. Honorary fellow of the Royal Photographic Society and visiting professor at Sunderland University, Alam has chaired the World Press Photo jury among other honors. Alam is also a new media pioneer and introduced email to Bangladesh. His book My Journey as a Witness has been described as “the most important book ever written by a photographer” by John Morris, the former picture editor of Life Magazine.","{'Shahidul Alam', 'Drik', 'John Morris', 'My Journey', 'Alam'}",5,"{'the World Press Photo', 'Life Magazine', 'Witness', 'Pathshala South Asian Media Institute', 'Sunderland University', 'the Royal Photographic Society'}",6,{'Bangladesh'},1
2062,Shahrazed Ratni,Algeria,"Shahrazed Ratni (Algeria, 1981) gave up her studies when she was 18 to train as a photographer. One year later, she was hired by the Algerian national daily El-Moudjahid, a job which enabled her to broaden her experience. Among other subjects, she covered floods and an earthquake in the years that followed. In 2003, the publication of her work led to a job offer from the Algeria Press Service (APS), where she was the first ever female photojournalist. APS, still her employer, assigned her to the entourage accompanying the Algerian president on his journeys, the first woman photographer to do so. Ratni’s coverage of social life in Bamako, Mali, earned her a first prize in a North African photo competition and a special mention in a contest of international press agencies in Madrid.",set(),0,"{'the Algeria Press Service', 'APS', 'El-Moudjahid'}",3,"{'Madrid', 'Mali', 'Algeria', 'Bamako'}",4
2063,Shangzhen Fan,China,"Shangzhen Fan (1966) was born in a remote village in Guinan County of Qinghai Province, China. His main focus is nature, especially wild animals, and he has been committed to photographing wildlife for 10 years. As a 30-year native of the Tibetan plateau, every mountain, river, tree and bush in his hometown is familiar to him. He has visited different nature reserves many times, following the tracks of Tibetan antelope, white-lipped deer, wild yak, kiang, sand fox, black-necked crane and snowcock. He is also actively involved in social welfare activities, calling on the public to protect wildlife with his lens. His work has won many awards, including the gold prize in Geermu Salt Lake National Photographic Art Festival and the silver prize in the nature section of the 2012 National Geographic Photography Contest. He is a member of the Chinese Photographers Association as well as Qinghai Photographers Association, and the vice chairman of Haixizhou Photographers Association and Qinghai Petroleum Marketing Photographers Association.",{'bush'},1,"{'Qinghai Photographers Association', 'the Chinese Photographers Association', 'Haixizhou Photographers Association', 'Qinghai Petroleum Marketing Photographers Association'}",4,"{'kiang', 'China', 'Guinan County', 'Qinghai Province', 'the Tibetan plateau'}",5
2064,Shaofeng Xu,China,"Shaofeng Xu was born in Tibet, in 1978, and first studied civil engineering at Huazhong University of Science and Technology, in Hubei province, China, before changing course to journalism. From 2007 to 2011, he worked as a photographer for Chutian Metropolis Daily, and since 2011 has worked with the Chengdu Business Daily.",{'Shaofeng Xu'},1,"{'Chutian Metropolis Daily', 'Huazhong University of Science and Technology', 'the Chengdu Business Daily'}",3,"{'China', 'Tibet', 'Hubei'}",3
2065,Shaul Schwarz,Israel,"His feature-length documentary Narco Cultura premiered at Sundance in 2013 and screened at film festivals worldwide including The Berlin International Film Festival and Hot Docs. He directed Time Magazine's Emmy-Nominated web series ""A Year in Space"". He has shot and directed content for TNT, The Discovery Channel, The History Channel, and CNN. He is also a regular photographic contributor to TIME Magazine and National Geographic. Schwarz is based in Brooklyn, New York, and is currently producing short film content for online publications while developing his third feature-length documentary, titled Trophy. He is the founder of Reel Peak Films.","{'Trophy', 'The History Channel', 'Schwarz', 'Narco Cultura', 'Reel Peak Films'}",5,"{""Time Magazine's"", 'The Discovery Channel', 'National Geographic', 'TIME Magazine', 'TNT', 'CNN'}",6,"{'Brooklyn', 'New York', 'Space'}",3
2066,Shayla Harris,none,"An award-winning producer and journalist, she helped lead digital video efforts at The New York Times for nearly a decade. Harris managed the production of mini-documentaries, enterprise videos and web series for The Times. She earned numerous awards as a reporter, producer and digital storyteller, including an Emmy for her work on Life, Interrupted, a documentary series about a young woman with cancer. She has also won a Digital National Magazine Award, a George Foster Peabody Award, an Overseas Press Club Award and several Emmy nominations, including one for Punched Out, an interactive documentary on the death of a hockey enforcer that she shot, produced, edited and wrote. Prior to joining The Times, Harris worked on award-winning documentaries for Dateline NBC, including as the producer of ""The Education of Ms. Groves,"" which won both an Alfred I. duPont-Columbia University Award and a Peabody Award. She worked as a field producer on specials with Tom Brokaw on the rising cost of healthcare and the Lost Boys of Sudan. She was also an associate producer on ""Pattern of Suspicion,"" a duPont-Columbia award-winning investigation of racial profiling in Cincinnati, and “Children of War,” an Emmy Award winning story on Ugandan child soldiers. Harris is on the Board of Screeners for the Alfred I. duPont-Columbia University Awards and had judged multimedia and short documentaries for contests and film festivals like POYi, POY LatAm and DocNYC. In addition, she has taught, lectured and presented at graduate journalism classes and conferences at NYU, CUNY Graduate School of Journalism, Columbia, Missouri School of Journalism and many others. She is a graduate of Williams College and Columbia University’s Graduate School of Journalism.","{'Tom Brokaw', 'Alfred I. duPont', 'a Peabody Award', 'Harris'}",4,"{'Punched Out', 'POY LatAm', 'CUNY Graduate School of Journalism, Columbia', 'Ugandan', 'Graduate School of Journalism', 'NYU', 'Williams College', 'Times', 'George Foster Peabody Award', 'the Board of Screeners', 'Digital National Magazine Award', 'Dateline NBC', 'Columbia University’s', 'The New York Times', 'Missouri School of Journalism'}",15,"{'Cincinnati', 'Sudan'}",2
2067,Shayne Robinson,South Africa,,set(),0,set(),0,set(),0
2068,Shehab Uddin,Australia,"Shehab has worked as a photographer, and team-leader at Sangbad and Drik. His work has been exhibited globally and won numerous awards, including Magnum Foundation Emergency Fund, Alexia Foundation Professional Grant, and All Roads (HM) National Geographic, WHO, and Asahi Shimbun. He has been published internationally, in The New York Times, Vice, Time Journal of Photography, The Politiken, USA Today, The Guardian, Der Spiegel, and Nepali Times, amongst others. Shehab’s work is in the collections of Kiyosato Museum of Photographic Arts (Japan), State Library of Queensland (Australia) Dhaka Nagar Jadughar (Dhaka City Museum) and Liberation War Museum (Bangladesh). Shehab has completed Doctor of Visual Arts in 2017 at GU and was named a Panos Media Fellow in 2005.","{'Der Spiegel', 'Asahi Shimbun', 'Dhaka Nagar Jadughar', 'Shehab'}",4,"{'Nepali Times', 'Magnum Foundation Emergency Fund', 'Kiyosato Museum of Photographic Arts', 'Liberation War Museum (Bangladesh', 'Guardian', 'The Politiken, USA Today', 'National Geographic', 'State Library of Queensland (Australia', 'Time Journal of Photography', 'Dhaka City Museum', 'Alexia Foundation Professional Grant', 'The New York Times', 'GU'}",13,"{'Japan', 'Sangbad', 'Drik'}",3
2069,Sheng-Wen Lo,none,"Sheng-Wen Lo's works investigate the relationships between non-humans and contemporary society, often taking daily experiences as points of departure. He makes use of still/moving images, installations, video games, escape rooms and various media. He is the creative director of Lightbox, a public photo library and a center for contemporary photography in Taipei, Taiwan.

During his residency in Europe, he facilitates connections between the Taiwanese and international contemporary photography scenes through talks, discussions, writings, and collaborations. Sheng is an artist in residence at the Rijksakademie (2019-2021) in Amsterdam, and has been working with National Geographic and the Embassy of the North Sea.

His recent works are shown at the Foam Fotografiemuseum, EYE Filmmuseum, and Art Rotterdam in the Netherlands, ICP Museum in New York, MMCA in South Korea, FORMAT Photo Festival, Belfast Photo Festival in the UK, UCCA in Beijing, LianZhou Foto in China, National Gallery of Victoria (NGV) in Australia, and Taiwan Biennial at NTMoFA in Taiwan.

Sheng-Wen Lo is a winner of Foam Talent (2021), and a fellowship/stipend recipient of De Nederlandsche Bank, Prince Claus Fund (2019), and Mondriaan Fond (2018).","{'Sheng', 'Art Rotterdam', 'Mondriaan Fond', 'LianZhou Foto'}",4,"{'FORMAT Photo Festival', 'De Nederlandsche Bank', 'Prince Claus Fund', 'National Geographic', 'MMCA', 'UCCA', 'National Gallery of Victoria', 'EYE Filmmuseum', 'Lightbox', 'NGV', ""Sheng-Wen Lo's"", 'ICP Museum', 'Belfast Photo Festival', 'Sheng-Wen Lo'}",14,"{'Australia', 'Taipei', 'Beijing', 'NTMoFA', 'Taiwan', 'China', 'Amsterdam', 'South Korea', 'New York', 'UK', 'Netherlands'}",11
2070,Shiho Fukada,USA,"She started her career as a news photographer in New York a decade ago and currently produces underreported stories both in video and photography. Her work has been recognized by The Visa d’or - Daily Press Award at Perpignan, The Society of Publishers in Asia, Days Japan International Photojournalism Award, Best of Photojournalism, Unicef Photo Award among others. She has a degree in English literature from Sophia University in Japan and received a diploma in multimedia journalism from Ateno de Manila University in the Philippines. She has also received grants from Alicia Patterson Fellowship and Pulitzer Center for Crisis Reporting. Her work has been featured in numerous publications including The New York Times, Time, Stern, New Yorker, Le Monde, and Bloomberg Markets, among others. She is internationally represented by Panos Pictures.","{'Alicia Patterson Fellowship', 'Bloomberg Markets', 'Le Monde', 'New Yorker'}",4,"{'The Society of Publishers', 'Ateno de Manila University', 'Perpignan,', 'Panos Pictures', 'Time', 'Visa', 'The New York Times', 'Sophia University'}",8,"{'Japan', 'New York', 'Philippines', 'Stern'}",4
2071,Shirley Abraham and Amit Madheshiya ,India,"Shirley Abraham and Amit Madheshiya are Cannes prize-winning Indian documentary filmmakers.

The Cinema Travellers is their debut documentary. It premiered as an Official Selection at Cannes Film Festival 2016. It has since been screened at a hundred and twenty five film festivals worldwide and won nineteen awards, including the President’s Medal in India. Shirley Abraham and Amit Madheshiya’s film Searching for Saraswati is India’s first Op-Doc for The New York Times. Their recent film, Once Upon a Lynching, is supported by Field of Vision, The Guardian and the Pulitzer Center.

Shirley and Amit’s work is supported by the Sundance Institute, MacArthur Foundation, IDFA Bertha Fund, Bertha Foundation, Arts Council of England, Filmmaker Fund and Catapult Film Fund. They have been fellows of Sundance Labs, Cluster of Excellence Heidelberg, India Foundation for the Arts and Goethe-Institut.

Amit Madheshiya has received a World Press Photo Award in 2011 and a World Photography Award in 2009, and 2011. 
 
Shirley Abraham and Amit Madheshiya on Social Media: 
Twitter: @amitmadheshiya, @shirley_abraham","{'Shirley', 'Shirley Abraham'}",2,"{'World Press Photo Award', '@amitmadheshiya', 'Sundance Labs', 'Guardian', 'Field of Vision', 'MacArthur Foundation', 'Bertha Foundation', 'Catapult Film Fund', 'Arts Council of England', 'Filmmaker Fund', 'India Foundation', 'Madheshiya', '@shirley_abraham', 'IDFA Bertha Fund', 'the Sundance Institute', 'Searching for Saraswati\xa0', 'The New York Times', 'Social Media'}",18,{'India'},1
2072,Shisei Kuwabara,Japan,,set(),0,set(),0,set(),0
2073, Shobha,Italy,,set(),0,set(),0,set(),0
2074,Shoeb Faruquee,Bangladesh,,set(),0,set(),0,set(),0
2075, Sholihuddin,Indonesia,,set(),0,set(),0,set(),0
2076,Shumin Wei,China,"Shumin Wei is a Chinese visual storyteller.

In 2018, as an intern at Beijing-based media group Caixin Media, she contributed to the report on the Carbon Nine Leakage in Quangang, Fujian, China. Her subsequent documentary about two families affected by the disaster was nominated at The Third West Lake Youth Documentary Forum.

As a fellow of the Global Reporting Program from 2018 to 2019, Wei was part of the production team of the documentary film 'The Fish You (Don't Know You) Eat"", awarded first place in the Multimedia Production category of the 2020 Canada Emerge Media Awards and nominated for the Online News Award.

Wei joined Caixin Media as a video journalist after graduating from the School of Journalism and Communication at Nanjing University in June 2019. 

World Press Photo Involvement:
2021 Digital Storytelling Contest winner

Shumin Wei on Social Media:
Instagram: @93_omo Image credit: Yingfei Liang","{'Wei', 'Yingfei Liang', 'Caixin Media', 'Shumin Wei'}",4,"{'the Global Reporting Program', 'Nanjing University', 'the School of Journalism and Communication', 'Social Media'}",4,"{'Beijing', 'China', 'Fujian', 'Quangang'}",4
2077,Sidney Martin,United Kingdom,"English photographer Sidney Louis Martin (born in 1895, year of death unknown) was a photographer for the Sunday Graphic between 1945 and 1948. In April 1950, he joined Kemsley Newspapers as a regular casual photographer and rejoined the staff in July 1951. Kemsley Newspapers sold their titles, including the Sunday Graphic and The Sunday Times to Thomson Newspapers in 1959. The Sunday Graphic was closed in 1960 and Sidney Martin left Thomson Newspapers in 1965.","{'Kemsley Newspapers', 'Sidney Louis Martin', 'Sidney Martin'}",3,"{'The Sunday Times', 'Thomson Newspapers'}",2,set(),0
2078,Sigrid Nygaard,Denmark,"She graduated as a photojournalist from The Danish School of Media and Journalism (2008) and was awarded with honorable mentions at the Danish Picture of the Year in 2016 and 2017. She was also nominated for a Cavling award, the Danish Pulitzer Prize, in 2016. Sigrid is a visiting lecturer at The Danish School for Media and Journalism, DIS Copenhagen and Copenhagen Film and Photography School. She believes in the importance of consistently fighting for visual storytelling in a changing media landscape. She strives to commission and produce outstanding documentary photography, often with an eye to experimental forms and expressions. Sigrid has been a jury member of Picture of the Year in Denmark (2011), and Picture of the Year in Sweden (2012). She also co-founded a newsletter on Danish documentary photography. When not working with photography, she spends much of her time on the island of Amager on the outskirts of Copenhagen, with her husband Emil Ryge and their two children.",{'Emil Ryge'},1,"{'the Danish Pulitzer Prize', 'The Danish School of Media', 'Copenhagen'}",3,"{'Sweden', 'Denmark'}",2
2079,Silva ,Italy,,set(),0,set(),0,set(),0
2080,Silvia Izquierdo,Peru,"Silvia Izquierdo is Associated Press’s (AP) Chief Photographer for Brazil.

World Press Photo Involvement:
Award-winning photographer 1998 Photo Contest
Award-winning photographer 2020 Photo Contest

Silvia Izquierdo on Social Media:
Twitter: @sizqui
Instagram: @sizki",{'Silvia Izquierdo'},1,"{'Associated Press’s', 'AP', 'World Press Photo Involvement', '@sizqui', '@sizki', 'Social Media'}",6,{'Brazil'},1
2081,Silvia Omedes,Spain,"Silvia has been the director of Photographic Social Vision Foundation in Barcelona since 2001, having begun her career working as exhibition coordinator at the Guggenheim Museum in New York. As a visual editor, she has worked for the publishing house Blume and the magazine OjodePez. Silvia combines visiting lectures on documentary photography in different private and public schools in Spain with the creation of alternative photography projects that challenge our society and shed light and create awareness of social issues worldwide. She has been a tutor for World Press Photo’s Masterclasses in Europe and Latin America, and a jury member for Joven Talento FNAC 2015, Czech Press Photo, LUX, and Poy Latam 2017. She is also an official nominator of young talents for the World Press Photo Foundation. As a photographer agent, she offers consulting services to both individual authors and collections, providing management skills and strategies for the professional exploitation of photographic archives. Her clients include the first woman photojournalist in Spain, Joana Biarnés, and the heirs of the Jácques Léonard Family Archive. Since 2014 she is a member of the Impulse Commission for the National Photography Plan of Government of Catalonia.","{'Joana Biarnés', 'Poy Latam', 'Silvia'}",3,"{'the Guggenheim Museum', 'Czech Press Photo', 'the National Photography Plan of Government', 'Blume', 'the Jácques Léonard Family Archive', 'World Press Photo’s', 'Photographic Social Vision Foundation', 'the Impulse Commission', 'the World Press Photo Foundation', 'LUX', 'OjodePez'}",11,"{'Spain', 'New York', 'Barcelona', 'Catalonia'}",4
2082,Sim Chi Yin,Singapore,"Originally a print journalist and foreign correspondent at The Straits Times for nine years before quitting to photograph fulltime, she now works on self-directed projects in Asia. She has completed multimedia, photography and video commissions for international publications including Le Monde, National Geographic, The New York Times, The New Yorker, and TIME. In 2010 Chi Yin was awarded a Magnum Foundation “Photography and Human Rights” fellowship at New York University, and in 2013 she was a finalist in the W. Eugene Smith Grant in Humanistic Photography. Her long-term project, Dying to Breathe: The Unseen Cost of Gold Mining, supported by the Pulitzer Center on Crisis Reporting, was released in 2015.","{'W. Eugene Smith', 'Chi Yin'}",2,"{'TIME', 'New York University', 'The New Yorker', 'National Geographic', 'the Pulitzer Center on Crisis Reporting', 'The Straits Times', 'The New York Times'}",7,set(),0
2083,Simon Bruty,none,,set(),0,set(),0,set(),0
2084,Simon E. Smit,The Netherlands,"Dutch press photographer Simon E. Smit, born in The Hague in 1914, started his career as a press photographer in 1931. He worked press agency Vaz Dias and Polygoon and worked for the Dutch newspapers Het Binnenhof and the Haagsche Courant. He was one of the first Dutch photographers who took to the streets, roaming and searching for subjects.  Simon Smit died in December 2012.","{'Simon E. Smit', 'Simon Smit', 'Vaz Dias'}",3,{'the Haagsche Courant'},1,{'The Hague'},1
2085,Simon Njami,Cameroon,"He studied philosophy, art history, law, and modern literature at the Sorbonne in Paris. Njami was the co-founder and editor-in-chief of Revue Noire, a journal of contemporary African and extra-occidental art. He served as artistic director of the Bamako Photography Biennale for ten years, collaborating with the European Union in the implementation of the event. From 2000 to 2010, Njami served as advisor to the AFAA, the cultural branch of the French Ministry of Foreign Affairs, in establishing their cultural cooperation policy towards African, Caribbean, and Pacific countries.

	Njami has been a member of numerous art and photography juries, including for the World Press Photo contest, in 2006 and 2008. He also acts as a nominator for the Joop Swart Masterclass. He co-curated the first African pavilion at the 52nd Venice Biennale in 2007 and has curated numerous other exhibitions of contemporary art and photography, including Africa Remix (2004 to 2007) and the first African Art Fair, held in Johannesburg in 2008. He has been a member of boards of numerous museums, a visiting professor at the University of San Diego California, and a member of the acquisition committee of FRAC Réunion. He is currently directing the pan-African master classes in photography, a project that he conceived with the Goethe Institut.","{'Njami', 'Revue Noire'}",2,"{'the Bamako Photography Biennale', 'the European Union', 'the World Press Photo', 'the Goethe Institut', 'Africa Remix', 'the French Ministry of Foreign Affairs', 'the University of San Diego California'}",7,"{'Johannesburg', 'Njami', 'Paris'}",3
2086,Simon Norfolk,UK,"Simon has produced four major books: For Most Of It I Have No Words (1998) about the landscapes of genocide, Afghanistan: Chronotopia (2002), 'Bleed' (2005) about the war in Bosnia, and Burke + Norfolk (2011), a re-discovery and re-photographing of John Burke's nineteenth century pictures from Afghanistan. This work was exhibited at Tate Modern in London in one of the gallery’s rare solo photographic shows. Simon’s work has been widely recognized. He won the 2002 European Publishing Award, the Foreign Press Club of America Award in 2003, The 2004 Infinity Award: Photojournalism from The International Center of Photography, the 2005 Le Prix Dialogue at Les Rencontres d'Arles, a Sony World Photography award in 2012, World Press Photo awards in 2001 and 2012, and the fourth Prix Pictet Commission in 2012.","{""John Burke's""}",1,"{'European Publishing Award', 'Burke + Norfolk', 'Prix Pictet Commission', 'Sony World Photography', 'World Press Photo', 'the Foreign Press Club of America Award', 'The International Center of Photography'}",7,"{'Bosnia', 'Afghanistan', 'London'}",3
2087,Simon Roberts,United Kingdom,,set(),0,set(),0,set(),0
2088,Simon Wood,South Africa,"Simon Wood is a filmmaker based in Cape Town, South Africa.

His latest film Scenes from a Dry City was produced by Academy Award Winner Laura Poitras and Charlotte Cooke at Field of Vision. The film premiered in competition at the International Documentary Film Festival Amsterdam (IDFA) and received a number of awards including Best Mini Doc at the Academy qualifying Big Sky Festival in Montana. Scenes from a Dry City has screened at over 50 festivals, and been recognized by juries in North America, Europe and Africa. 

Wood's next film Untamed currently in post production was recently selected for the Final Cut at the Venice International Film Festival. The film was also selected for IFP’s Spotlight on Documentaries for Independent Film Week in New York City.  His previous film The Silent Form received four awards at the 2017 SAFTAS (South African Film and Television Awards). In 2018, his film Orbis was awarded ‘The Golden Ribbon’ for best international documentary by CICTV in Beijing.

Wood is currently in production with Container, a virtual reality collaboration with Indian artist Meghna Singh.

Simon Wood on Social Media:
Twitter: @wanderingsimon
Instagram: @shadydocumentarian","{'Container', 'Charlotte Cooke', 'Wood', 'Laura Poitras', 'Simon Wood', 'Best Mini Doc', 'Meghna Singh'}",7,"{'the International Documentary Film Festival', 'IDFA', 'the Final Cut', 'Academy', 'Field of Vision', 'Untamed', '@wanderingsimon', '@shadydocumentarian', 'Social Media', 'IFP', 'Documentaries for Independent Film Week', 'Orbis'}",12,"{'Montana', 'Beijing', 'South Africa', 'New York City', 'Cape Town', 'Dry City'}",6
2089,Simona Ghizzoni,Italy,"Simona Ghizzoni is a photographer, visual artist and activist for women's rights. 

In her practice, Ghizzoni blurs the lines between documentary and personal research. While her images are often socially inspired, she tends to employ a personal and participative narrative that arises from the intimate relationships she creates with others. This can be seen in her autobiographical work on eating disorders, Odd Days, and her self-portraits series, Aftermath/Rayuela, which addresses the relationship between humankind and nature.

Her work has received several prizes, including in the 2008 and 2012 World Press Photo Contests, Poyi, The Aftermath Project, Burn Magazine Emerging Photographer Grant, BBC Arabic Film and Documentary Festival, Margaret Mead Film Festival, Sony World Photography Award, National Geographic Grant, among others. Ghizzoni’s work has been widely presented in personal and collective exhibitions in various locations including the Nobel Peace Centre in Oslo, Paris Photo, PHotoESPAÑA, Auditorium Roma, Athens Photo Festival and featured in several magazines, including The Smithsonian Magazine, L’Espresso, Mail & Guardian, and El Pais. 

Ghizzoni is a TEDX speaker and regularly gives lectures in various Italian and European schools and universities. She is co-founder of MAPS Images. She is represented by MLB Gallery, Ferrara, Italy. 


World Press Photo Involvement:
2022 World Press Photo Contest Europe jury chair
2018 Joop Swart Masterclass mentor
2012 World Press Photo Contest winner
2009 Joop Swart Masterclass participant 
2008 World Press Photo Contest winner

Simona Ghizzoni on Social Media: 
Instagram: @simona.ghizzoni Portrait credit: Simona Ghizzoni","{'Margaret Mead Film Festival', 'Joop Swart Masterclass', 'Photo Contests', 'Arabic Film', 'Ghizzoni', 'Simona Ghizzoni'}",6,"{'National Geographic Grant', 'PHotoESPAÑA, Auditorium Roma', 'Ghizzoni’s', 'The Smithsonian Magazine', 'Sony World Photography Award', 'MAPS Images', 'L’Espresso, Mail & Guardian', 'Aftermath/Rayuela', 'MLB Gallery', 'Social Media', 'World Press Photo Involvement', 'TEDX', 'BBC', 'Paris Photo'}",14,"{'El Pais', '@simona.ghizzoni', 'Ferrara', 'Oslo', 'Poyi', 'Italy'}",6
2090,Sin Luz: Life Without Power team,none,"As the longest power outage in U.S. history stretched on for months, the three pitched returning to the island a few months later to report on life without electricity. To create a story that had visual impact and emotional power, senior producer for video Reem Akkad, graphics director Kat Downs and senior editor at-large Ann Gerhart pulled together a team of 18 from across the newsroom to build an immersive multimedia experience. That early collaboration allowed writers, videographers, designers and developers to work fluidly together on the storytelling. Murphy worked in Puerto Rico’s mountainous region of Utuado to report on and film a teacher, nurse, and family living without electricity or running water. Leaming went to the coastal town of Yabucoa and brought back the stories of a small business owner and struggling student. Hernandez, who has relatives in Puerto Rico, dug into local reports of desperation to find characters and played the vital role of putting each individual story into the larger context.  © Edwin Avila The Washington Post’s Jorge Ribas and Seth Blanchard filmed dramatic drone footage of landscapes and mudslides. They then worked with Kolin Pope to render 3D models with photogrammetry, an innovative technology that offers audiences a new perspective on the devastation. Designer and developer Emily Yount lead the interactive’s design and Armand Emamdjomeh and Lauren Tierney built beautiful maps and graphics to provide crucial context to the story. Joanne Lee and Victoria Fogg designed icons, and Paula Duran Rehbien was critical in producing quickly a Spanish-language version of the project. The team also included freelancers Hector Santos Guia, Joa Rodriguez, and Mardelis Jusino Ortiz.","{'Reem Akkad', 'Joanne Lee', 'Joa Rodriguez', 'Emily Yount', 'Kolin Pope', 'Paula Duran Rehbien', 'Santos Guia', 'Jorge Ribas', 'Murphy', 'Ann Gerhart', 'Edwin Avila', 'Mardelis Jusino Ortiz', 'Victoria Fogg', 'Kat Downs'}",14,"{'Seth Blanchard', 'Armand Emamdjomeh and Lauren Tierney', 'The Washington Post’s'}",3,"{'Yabucoa', 'Puerto Rico’s', 'Puerto Rico', 'Utuado', 'U.S.'}",5
2091,Sirachai Arunrugstichai,Thailand,"""Sirachai, also known as Shin, loves what he does. His work focuses on the correlation between humans and nature to understand how we can sustainably utilise marine resources while also preserving ecological function and biodiversity in the long run. He believes that conservation photography is not only about pretty pictures, but the picture of the problems that have been going on, such as pollution or climate change"". Neo Ntsoma, photojournalism trainer & photographer at Neo Ntsoma Productions, South Africa - 6x6 Global Talent Program nominator With Sirachai Arunrugstichai’s background in marine biology, he originally picked up photography as a tool to document biodiversity in coral reefs, while working as a field researcher. After realizing the effectiveness of photography for communicating conservation issues to the public, Arunrugstichai later shifted his career path toward photojournalism in 2015. Arunrugstichai is currently a freelance assignment photographer for National Geographic magazine (Thai Edition) and has also been working with several conservation organizations, such as IUCN, WildAid, Greenpeace Southeast Asia, OXFAM Thailand and the Department of Marine & Coastal Resources of Thailand on marine conservation issues. He has received numerous awards in nature photography competitions, and also gave a talk for TEDx Bangkok in 2017 on conservation photography. See Sirachai Arunrugstichai's 'Sharks: Predators in Peril' on Witness, World Press Photo's online magazine. Find out about the 6x6 Global Talent program nomination process and our growing community of global nominators.","{'Shin', 'Neo Ntsoma'}",2,"{'Neo Ntsoma Productions', 'Global Talent Program', 'Arunrugstichai', 'Witness', ""World Press Photo's"", 'National Geographic', 'the Department of Marine & Coastal Resources', 'WildAid, Greenpeace Southeast Asia', 'IUCN', 'Sirachai Arunrugstichai’s'}",10,"{'Bangkok', ""Sirachai Arunrugstichai's"", 'Peril', 'South Africa', 'Thailand', 'Sirachai'}",6
2092,Socrates Kakoulides,none,"A documentary filmmaker and physician, Socrates is a senior producer on United Nations Virtual Reality experiences “Waves of Grace,” the story of an Ebola survivor in Liberia, and “Clouds Over Sidra” about a young girl's life in a Syrian refugee camp. His work was featured at Sundance, IDFA and awarded the Interactive Award at Sheffield in 2015.  Socrates is a cardiologist and a published researcher on public health in underserved communities. This work includes studying the effects of Hurricane Katrina on cardiovascular health in New Orleans and producing health advocacy media in Kenya.",set(),0,"{'United Nations Virtual Reality', 'IDFA', 'Sundance'}",3,"{'New Orleans', 'Liberia', 'Kenya'}",3
2093,Sodiq Adelakun Adekola,Nigeria,"Sodiq Adelakun Adekola is a photo and video journalist currently based in Abuja, Nigeria. He is a graduate of the Nigerian Institute of Journalism, the University of Ibadan and the School of Media and Communication - Pan-Atlantic University, where he gained qualifications in photojournalism, psychology and advanced writing and reporting skills respectively. Through his work, Adelakun Adekola aims to expose injustice in his immediate environment and society at large. His work centers around human rights abuse, social exclusion, news, and documentary stories, with special attention on the rights of children and women. He is a stringer for Agence France-Presse, a photo editor for Channels – the Nigerian televison station, and a former photojournalist at the Punch Newspapers, Nigeria. His works have been featured in international journals including The New York Times, The Washington Post, CNN, BBC, Getty Images, TIME, Bloomberg, and The Telegraph. Adelakun Adekola is a member of the African Photojournalism Database, a directory of emerging and professional African visual journalists established by the World Press Photo Foundation and Everyday Africa. 
World Press Photo Involvement:
2022 World Press Photo Contest winner See Sodiq Adelakun Adekola's 'The Electorate' as part of Four to Follow #13 on Witness, World Press Photo's online magazine. Sodiq Adelakun Adekola on Social Media:
Instagram: @sodiqadelakun
Twitter: @sodiqadelakun Portrait credit: Sodiq Adelakun Adekola","{'Sodiq Adelakun Adekola', 'Adelakun Adekola', '@sodiqadelakun Portrait'}",3,"{'the School of Media and Communication - Pan-Atlantic University', 'The Washington Post', 'the African Photojournalism Database', 'Agence France-Presse', 'TIME', 'Witness', 'BBC', ""World Press Photo's"", '@sodiqadelakun', 'Channels', 'the University of Ibadan', 'Bloomberg', 'the World Press Photo Foundation', 'the Nigerian Institute of Journalism', 'CNN', 'The New York Times', 'Social Media'}",17,"{'Everyday Africa', 'Abuja', 'Getty Images', 'Nigeria'}",4
